x,Curve1
0.004,0.0786
7.616,0.1043
14.62,0.1693
21.629,0.2999
27.727,0.496
32.914,0.7446
37.19,1.0063
41.161,1.2811
44.828,1.5691
47.888,1.8702
50.643,2.1714
52.79,2.4856
54.632,2.7999
56.171,3.1273
57.71,3.4547
58.639,3.7691
59.873,4.0965
60.803,4.424
61.428,4.7514
62.358,5.0789
62.984,5.4064
63.608,5.7207
64.234,6.0482
64.859,6.3757
65.485,6.7031
66.11,7.0306
66.736,7.3581
67.057,7.6856
67.378,8.0131
68.003,8.3405
68.324,8.668
68.95,8.9955
69.879,9.3229
70.972,9.4977
73.239,9.5323
74.423,9.4644
75.568,9.3653
76.268,9.2439
77.167,8.9556
78.063,8.6281
78.96,8.3005
80.162,7.986
81.058,7.6584
81.955,7.3309
82.852,7.0033
83.748,6.6757
84.246,6.5423
84.95,6.3612
85.846,6.0337
86.743,5.7061
87.64,5.3785
88.536,5.051
89.738,4.7365
90.284,4.5943
90.635,4.4089
91.034,4.2641
92.14,4.0813
92.935,3.9174
93.646,3.7668
94.847,3.4392
96.049,3.1247
97.554,2.7971
99.365,2.4826
101.03,2.2991
102.698,2.181
104.349,2.101
105.581,2.004
106.644,1.9515
107.254,1.9711
108.94,1.8861
110.596,1.8465
111.238,1.82
113.033,1.8791
115.772,1.8723
115.842,1.8527
119.125,1.9442
121.6,1.9513
122.756,2.0503
124.005,2.1403
125.074,2.1992
125.988,2.2254
129.797,2.2972
129.949,2.3037
131.166,2.284
133.304,2.4279
134.678,2.5065
137.735,2.7486
138.346,2.7944
139.265,2.9188
143.227,3.0037
145.428,2.9071
147.331,2.8921
148.245,2.9117
149.005,2.8854
149.309,2.8723
152.336,2.9892
153.881,2.9965
155.402,2.9636
159.041,2.6883
160.557,2.5703
161.765,2.3868
162.822,2.2295
163.276,2.164
163.88,2.0722
164.632,1.8888
165.69,1.7577
167.229,1.7173
167.829,1.9017
168.453,2.216
168.774,2.5435
169.4,2.871
169.721,3.1985
170.04,3.4801
170.341,3.4212
170.391,3.5657
170.933,3.0936
171.221,2.7661
171.813,2.4385
172.101,2.111
172.247,1.9865
172.693,1.7834
173.285,1.4559
176.01,1.1544
177.07,1.0561
178.438,1.0101
181.48,0.9706
182.39,0.8985
185.281,0.8918
187.562,0.8523
189.539,0.8195
190.911,0.8521
194.868,0.8519
197.001,0.8845
201.567,0.8907
208.571,0.9427
214.054,0.9947
215.574,0.9684
220.141,0.9812
221.358,0.968
222.881,0.9941
227.294,0.9611
230.187,0.9937
233.686,0.9607
237.49,0.9277
243.875,0.7701
249.953,0.5731
256.642,0.4155
258.769,0.3433
260.29,0.3105
263.334,0.3103
265.614,0.2446
270.636,0.2312
274.59,0.172
277.637,0.2176
279.157,0.1848
285.246,0.204
288.137,0.1711
292.552,0.2035
299.553,0.19
307.162,0.1633
314.467,0.1366
321.77,0.0837
329.076,0.0832
332.423,0.0568
336.075,0.0435
337.597,0.0434
339.734,0.1612
340.19,0.1415
340.949,0.1087
342.467,0.0234
347.031,-0.0096
354.337,-0.0101
359.664,-0.017
