CellSize    orbitals   PBE-up   PBE-down   DDH-up   DDH-down
64          eu         11.9949  12.3584    11.2887  11.9203
64          VBM        12.9029  12.9220    12.3957  12.4158
64          eg         14.1475  14.5666    13.6256  15.1543
64          CB         17.7095  17.7335    18.7575  18.7801
216         eu         12.2884  12.5190    11.6764  12.1021
216         VBM        13.1761  13.1824    12.7371  12.7458
216         eg         13.7878  14.1849    13.2706  14.6787
216         CB         17.4735  17.4823    18.4554  18.4640
512         eu         12.6180  12.7031    12.0987  12.2614
512         VBM        13.2506  13.2533    12.8213  12.8254
512         eg         13.6755  14.0998    13.1447  14.5828
512         CB         17.4609  17.4644    18.4224  18.4264
1000        eu         12.8434  12.8673    12.3706  12.4190
1000        VBM        13.2739  13.2753    12.8487  12.8509
1000        eg         13.6205  14.0645    13.0884  14.5592
1000        CB         17.5015  17.5029    18.4586  18.4604
