#pbe 512
#norb      e_start    e_end      \lambda_z              \sqrt(2) \lambda_perp     3A2      1E      1A1     3E
3_model    14.3056    15.8399    45.66255739448078      124.54644651121566        0.000    0.534   1.285   2.917
3          14.3056    15.8399    45.662557571993865     109.3262757303954         0.000    0.534   1.285   2.917
5          13.2452    15.8399    30.61195420912942      94.60463830602556         0.000    0.543   1.306   2.945
8          12.5908    15.8399    29.981608095262295     70.85411701918389         0.000    0.537   1.319   2.833
12         12.5349    15.8399    30.198593406087472     71.25710275406773         0.000    0.538   1.320   2.832
16         12.4931    15.8399    30.359940441541344     59.006625217051685        0.000    0.517   1.361   2.567
24         11.9349    15.8399    23.764064696173904     54.58522762415067         0.000    0.524   1.402   2.436
32         11.5770    15.8399    33.35775985509086      55.70561836632741         0.000    0.505   1.401   2.303
40         11.5481    15.8399    33.24177083882053      56.6902048781016          0.000    0.505   1.401   2.298
48         11.5365    15.8399    32.96837965037017      57.3394705302446          0.000    0.505   1.402   2.297
56         10.6484    15.8399    22.898730432785417     49.148115995000154        0.000    0.513   1.432   2.244
62         10.5024    15.8399    25.51901346565625      49.71805807876803         0.000    0.513   1.429   2.250
