#pbe 216
#path 1
#image      e_start    e_end      \lambda_z              \sqrt(2) \lambda_perp     3A2      1E      1A1     3E
#ref (3A2)  10.7445    15.6876    42.96525084260691      80.06910547505998         0.000    0.523   1.444   2.350
 1          10.7423    15.6941    43.3434155189717       78.03726492409928         0.000    0.514   1.417   2.343
 2          10.7421    15.6886    43.13325820290648      79.54064579880246         0.000    0.518   1.424   2.334
 3          10.7419    15.6831    43.08549961538463      77.04406985667521         0.000    0.508   1.414   2.272
 4          10.7417    15.6777    42.94769676388335      76.51631068011876         0.000    0.505   1.412   2.238
 5          10.7416    15.6723    42.80345354712515      75.96433719024927         0.000    0.501   1.410   2.205
 6          10.7414    15.6669    42.653885841265904     75.41629031302597         0.000    0.498   1.407   2.170
 7          10.7412    15.6616    42.500428992032596     74.81148302220672         0.000    0.494   1.404   2.134
 8          10.7411    15.6563    42.339165560886585     74.23274236621722         0.000    0.491   1.402   2.102
 9          10.7409    15.6511    42.166501425670674     73.83047588917776         0.000    0.488   1.401   2.073
10          10.7408    15.6459    42.00181263021571      72.96403100994763         0.000    0.484   1.396   2.033
11          10.7406    15.6408    41.822788944667124     72.42852818696011         0.000    0.481   1.394   2.003
12          10.7405    15.6357    41.641850331056006     71.76671560304473         0.000    0.477   1.392   1.972
13          10.7404    15.6306    41.455582750089114     71.08908817576351         0.000    0.473   1.388   1.940
14          10.7402    15.6256    41.25495947519826      68.19659512591608         0.000    0.459   1.372   1.816
15          10.7401    15.6206    41.05539959491518      69.63733783839977         0.000    0.466   1.381   1.874
# old
#  1          10.7454    15.7000    43.04979690084232      83.34572471465606         0.000    0.536   1.455   2.462
#  2          10.7450    15.6937    43.03525487396608      82.05916437812259         0.000    0.530   1.450   2.405
#  3          10.7446    15.6876    42.993084666333        80.66932007257465         0.000    0.524   1.444   2.356
#  4          10.7441    15.6817    42.921680113209824     79.21939580844796         0.000    0.518   1.438   2.306
#  5          10.7437    15.6760    42.82409449645347      77.89124027261477         0.000    0.512   1.432   2.257
#  6          10.7433    15.6705    42.702053793573114     76.6105755544263          0.000    0.506   1.425   2.207
#  7          10.7429    15.6651    42.55542879729975      75.27894818421207         0.000    0.500   1.418   2.159
#  8          10.7425    15.6599    42.38487892341356      73.88157345353427         0.000    0.494   1.411   2.113
#  9          10.7422    15.6549    42.19437223649749      72.57537994958658         0.000    0.487   1.403   2.065
# 10          10.7418    15.6501    41.981248173549574     71.26933729673185         0.000    0.481   1.395   2.020
# 11          10.7415    15.6454    41.74794273897439      69.94536589113045         0.000    0.475   1.387   1.976
# 12          10.7411    15.6409    41.49390853851249      68.61761143588511         0.000    0.468   1.379   1.929
# 13          10.7408    15.6366    41.22316466738251      67.29229522084916         0.000    0.462   1.370   1.888
# 14          10.7405    15.6324    40.93859291148929      65.97780529672453         0.000    0.456   1.362   1.847
# 15          10.7402    15.6284    40.60848807866978      64.62453962572842         0.000    0.450   1.353   1.806
