Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    9.66390414e-08    -9.35205305e-09    2.26256632e-10    8.75132450e-08
-1.49900000e+02    9.67680224e-08    -9.36453493e-09    2.26558610e-10    8.76300461e-08
-1.49800000e+02    9.68972618e-08    -9.37704182e-09    2.26861192e-10    8.77470811e-08
-1.49700000e+02    9.70267602e-08    -9.38957377e-09    2.27164381e-10    8.78643508e-08
-1.49600000e+02    9.71565184e-08    -9.40213087e-09    2.27468178e-10    8.79818557e-08
-1.49500000e+02    9.72865371e-08    -9.41471317e-09    2.27772585e-10    8.80995965e-08
-1.49400000e+02    9.74168170e-08    -9.42732075e-09    2.28077603e-10    8.82175738e-08
-1.49300000e+02    9.75473587e-08    -9.43995367e-09    2.28383235e-10    8.83357883e-08
-1.49200000e+02    9.76781630e-08    -9.45261199e-09    2.28689481e-10    8.84542405e-08
-1.49100000e+02    9.78092306e-08    -9.46529580e-09    2.28996343e-10    8.85729311e-08
-1.49000000e+02    9.79405621e-08    -9.47800515e-09    2.29303824e-10    8.86918608e-08
-1.48900000e+02    9.80721584e-08    -9.49074012e-09    2.29611924e-10    8.88110302e-08
-1.48800000e+02    9.82040200e-08    -9.50350077e-09    2.29920646e-10    8.89304399e-08
-1.48700000e+02    9.83361478e-08    -9.51628718e-09    2.30229991e-10    8.90500906e-08
-1.48600000e+02    9.84685424e-08    -9.52909940e-09    2.30539960e-10    8.91699829e-08
-1.48500000e+02    9.86012045e-08    -9.54193752e-09    2.30850556e-10    8.92901176e-08
-1.48400000e+02    9.87341350e-08    -9.55480160e-09    2.31161780e-10    8.94104952e-08
-1.48300000e+02    9.88673344e-08    -9.56769172e-09    2.31473634e-10    8.95311163e-08
-1.48200000e+02    9.90008036e-08    -9.58060793e-09    2.31786120e-10    8.96519818e-08
-1.48100000e+02    9.91345432e-08    -9.59355032e-09    2.32099238e-10    8.97730921e-08
-1.48000000e+02    9.92685540e-08    -9.60651895e-09    2.32412992e-10    8.98944480e-08
-1.47900000e+02    9.94028367e-08    -9.61951390e-09    2.32727382e-10    9.00160502e-08
-1.47800000e+02    9.95373921e-08    -9.63253523e-09    2.33042410e-10    9.01378992e-08
-1.47700000e+02    9.96722208e-08    -9.64558302e-09    2.33358079e-10    9.02599959e-08
-1.47600000e+02    9.98073237e-08    -9.65865733e-09    2.33674389e-10    9.03823408e-08
-1.47500000e+02    9.99427015e-08    -9.67175825e-09    2.33991343e-10    9.05049346e-08
-1.47400000e+02    1.00078355e-07    -9.68488584e-09    2.34308942e-10    9.06277780e-08
-1.47300000e+02    1.00214285e-07    -9.69804018e-09    2.34627188e-10    9.07508717e-08
-1.47200000e+02    1.00350492e-07    -9.71122133e-09    2.34946083e-10    9.08742163e-08
-1.47100000e+02    1.00486976e-07    -9.72442938e-09    2.35265629e-10    9.09978126e-08
-1.47000000e+02    1.00623740e-07    -9.73766439e-09    2.35585827e-10    9.11216612e-08
-1.46900000e+02    1.00760783e-07    -9.75092644e-09    2.35906679e-10    9.12457628e-08
-1.46800000e+02    1.00898106e-07    -9.76421560e-09    2.36228187e-10    9.13701181e-08
-1.46700000e+02    1.01035709e-07    -9.77753194e-09    2.36550353e-10    9.14947278e-08
-1.46600000e+02    1.01173595e-07    -9.79087555e-09    2.36873178e-10    9.16195926e-08
-1.46500000e+02    1.01311763e-07    -9.80424649e-09    2.37196665e-10    9.17447132e-08
-1.46400000e+02    1.01450214e-07    -9.81764483e-09    2.37520814e-10    9.18700903e-08
-1.46300000e+02    1.01588950e-07    -9.83107066e-09    2.37845629e-10    9.19957245e-08
-1.46200000e+02    1.01727970e-07    -9.84452405e-09    2.38171110e-10    9.21216166e-08
-1.46100000e+02    1.01867275e-07    -9.85800508e-09    2.38497260e-10    9.22477673e-08
-1.46000000e+02    1.02006867e-07    -9.87151381e-09    2.38824081e-10    9.23741774e-08
-1.45900000e+02    1.02146746e-07    -9.88505034e-09    2.39151573e-10    9.25008474e-08
-1.45800000e+02    1.02286913e-07    -9.89861472e-09    2.39479740e-10    9.26277782e-08
-1.45700000e+02    1.02427369e-07    -9.91220704e-09    2.39808582e-10    9.27549704e-08
-1.45600000e+02    1.02568114e-07    -9.92582738e-09    2.40138103e-10    9.28824247e-08
-1.45500000e+02    1.02709149e-07    -9.93947581e-09    2.40468303e-10    9.30101420e-08
-1.45400000e+02    1.02850476e-07    -9.95315241e-09    2.40799184e-10    9.31381228e-08
-1.45300000e+02    1.02992095e-07    -9.96685726e-09    2.41130749e-10    9.32663680e-08
-1.45200000e+02    1.03134006e-07    -9.98059044e-09    2.41462999e-10    9.33948783e-08
-1.45100000e+02    1.03276210e-07    -9.99435201e-09    2.41795937e-10    9.35236543e-08
-1.45000000e+02    1.03418709e-07    -1.00081421e-08    2.42129563e-10    9.36526969e-08
-1.44900000e+02    1.03561504e-07    -1.00219607e-08    2.42463881e-10    9.37820067e-08
-1.44800000e+02    1.03704594e-07    -1.00358080e-08    2.42798891e-10    9.39115845e-08
-1.44700000e+02    1.03847980e-07    -1.00496839e-08    2.43134596e-10    9.40414311e-08
-1.44600000e+02    1.03991665e-07    -1.00635887e-08    2.43470998e-10    9.41715471e-08
-1.44500000e+02    1.04135648e-07    -1.00775224e-08    2.43808099e-10    9.43019334e-08
-1.44400000e+02    1.04279930e-07    -1.00914850e-08    2.44145900e-10    9.44325907e-08
-1.44300000e+02    1.04424512e-07    -1.01054766e-08    2.44484403e-10    9.45635197e-08
-1.44200000e+02    1.04569395e-07    -1.01194974e-08    2.44823612e-10    9.46947211e-08
-1.44100000e+02    1.04714580e-07    -1.01335474e-08    2.45163526e-10    9.48261959e-08
-1.44000000e+02    1.04860067e-07    -1.01476266e-08    2.45504149e-10    9.49579446e-08
-1.43900000e+02    1.05005858e-07    -1.01617352e-08    2.45845482e-10    9.50899681e-08
-1.43800000e+02    1.05151953e-07    -1.01758733e-08    2.46187528e-10    9.52222671e-08
-1.43700000e+02    1.05298353e-07    -1.01900409e-08    2.46530288e-10    9.53548424e-08
-1.43600000e+02    1.05445059e-07    -1.02042381e-08    2.46873764e-10    9.54876947e-08
-1.43500000e+02    1.05592072e-07    -1.02184650e-08    2.47217959e-10    9.56208249e-08
-1.43400000e+02    1.05739392e-07    -1.02327216e-08    2.47562874e-10    9.57542337e-08
-1.43300000e+02    1.05887022e-07    -1.02470081e-08    2.47908511e-10    9.58879219e-08
-1.43200000e+02    1.06034960e-07    -1.02613246e-08    2.48254873e-10    9.60218903e-08
-1.43100000e+02    1.06183209e-07    -1.02756711e-08    2.48601961e-10    9.61561396e-08
-1.43000000e+02    1.06331769e-07    -1.02900476e-08    2.48949778e-10    9.62906707e-08
-1.42900000e+02    1.06480640e-07    -1.03044544e-08    2.49298324e-10    9.64254843e-08
-1.42800000e+02    1.06629825e-07    -1.03188915e-08    2.49647604e-10    9.65605812e-08
-1.42700000e+02    1.06779324e-07    -1.03333589e-08    2.49997618e-10    9.66959623e-08
-1.42600000e+02    1.06929137e-07    -1.03478568e-08    2.50348368e-10    9.68316282e-08
-1.42500000e+02    1.07079265e-07    -1.03623852e-08    2.50699858e-10    9.69675799e-08
-1.42400000e+02    1.07229710e-07    -1.03769442e-08    2.51052088e-10    9.71038180e-08
-1.42300000e+02    1.07380472e-07    -1.03915339e-08    2.51405060e-10    9.72403435e-08
-1.42200000e+02    1.07531553e-07    -1.04061544e-08    2.51758778e-10    9.73771572e-08
-1.42100000e+02    1.07682952e-07    -1.04208058e-08    2.52113243e-10    9.75142597e-08
-1.42000000e+02    1.07834672e-07    -1.04354881e-08    2.52468457e-10    9.76516520e-08
-1.41900000e+02    1.07986712e-07    -1.04502015e-08    2.52824422e-10    9.77893349e-08
-1.41800000e+02    1.08139074e-07    -1.04649461e-08    2.53181141e-10    9.79273092e-08
-1.41700000e+02    1.08291759e-07    -1.04797219e-08    2.53538615e-10    9.80655757e-08
-1.41600000e+02    1.08444767e-07    -1.04945289e-08    2.53896846e-10    9.82041353e-08
-1.41500000e+02    1.08598100e-07    -1.05093674e-08    2.54255838e-10    9.83429887e-08
-1.41400000e+02    1.08751759e-07    -1.05242374e-08    2.54615591e-10    9.84821368e-08
-1.41300000e+02    1.08905743e-07    -1.05391390e-08    2.54976109e-10    9.86215804e-08
-1.41200000e+02    1.09060055e-07    -1.05540722e-08    2.55337392e-10    9.87613204e-08
-1.41100000e+02    1.09214695e-07    -1.05690372e-08    2.55699444e-10    9.89013577e-08
-1.41000000e+02    1.09369665e-07    -1.05840341e-08    2.56062267e-10    9.90416930e-08
-1.40900000e+02    1.09524964e-07    -1.05990629e-08    2.56425862e-10    9.91823272e-08
-1.40800000e+02    1.09680595e-07    -1.06141237e-08    2.56790233e-10    9.93232611e-08
-1.40700000e+02    1.09836557e-07    -1.06292166e-08    2.57155381e-10    9.94644957e-08
-1.40600000e+02    1.09992852e-07    -1.06443418e-08    2.57521308e-10    9.96060317e-08
-1.40500000e+02    1.10149481e-07    -1.06594993e-08    2.57888016e-10    9.97478700e-08
-1.40400000e+02    1.10306445e-07    -1.06746891e-08    2.58255509e-10    9.98900115e-08
-1.40300000e+02    1.10463745e-07    -1.06899115e-08    2.58623787e-10    1.00032457e-07
-1.40200000e+02    1.10621381e-07    -1.07051665e-08    2.58992854e-10    1.00175208e-07
-1.40100000e+02    1.10779355e-07    -1.07204541e-08    2.59362712e-10    1.00318264e-07
-1.40000000e+02    1.10937668e-07    -1.07357745e-08    2.59733362e-10    1.00461627e-07
-1.39900000e+02    1.11096320e-07    -1.07511277e-08    2.60104807e-10    1.00605297e-07
-1.39800000e+02    1.11255313e-07    -1.07665140e-08    2.60477050e-10    1.00749276e-07
-1.39700000e+02    1.11414647e-07    -1.07819332e-08    2.60850092e-10    1.00893564e-07
-1.39600000e+02    1.11574324e-07    -1.07973857e-08    2.61223937e-10    1.01038163e-07
-1.39500000e+02    1.11734345e-07    -1.08128713e-08    2.61598586e-10    1.01183072e-07
-1.39400000e+02    1.11894710e-07    -1.08283903e-08    2.61974041e-10    1.01328293e-07
-1.39300000e+02    1.12055420e-07    -1.08439428e-08    2.62350305e-10    1.01473828e-07
