Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    1.10747207e-09    -2.75395024e-11    1.73590933e-13    1.08010616e-09
-1.49900000e+02    1.11302287e-09    -2.76840249e-11    1.74597206e-13    1.08551345e-09
-1.49800000e+02    1.11858327e-09    -2.78290043e-11    1.75609645e-13    1.09092987e-09
-1.49700000e+02    1.12415322e-09    -2.79744460e-11    1.76628375e-13    1.09635540e-09
-1.49600000e+02    1.12973271e-09    -2.81203557e-11    1.77653527e-13    1.10179001e-09
-1.49500000e+02    1.13532171e-09    -2.82667390e-11    1.78685233e-13    1.10723365e-09
-1.49400000e+02    1.14092020e-09    -2.84136021e-11    1.79723631e-13    1.11268632e-09
-1.49300000e+02    1.14652815e-09    -2.85609514e-11    1.80768862e-13    1.11814797e-09
-1.49200000e+02    1.15214557e-09    -2.87087933e-11    1.81821072e-13    1.12361860e-09
-1.49100000e+02    1.15777244e-09    -2.88571349e-11    1.82880412e-13    1.12909818e-09
-1.49000000e+02    1.16340875e-09    -2.90059832e-11    1.83947036e-13    1.13458671e-09
-1.48900000e+02    1.16905450e-09    -2.91553457e-11    1.85021105e-13    1.14008418e-09
-1.48800000e+02    1.17470970e-09    -2.93052302e-11    1.86102781e-13    1.14559057e-09
-1.48700000e+02    1.18037435e-09    -2.94556447e-11    1.87192236e-13    1.15110590e-09
-1.48600000e+02    1.18604847e-09    -2.96065976e-11    1.88289643e-13    1.15663016e-09
-1.48500000e+02    1.19173206e-09    -2.97580977e-11    1.89395181e-13    1.16216336e-09
-1.48400000e+02    1.19742516e-09    -2.99101539e-11    1.90509035e-13    1.16770552e-09
-1.48300000e+02    1.20312780e-09    -3.00627757e-11    1.91631396e-13    1.17325665e-09
-1.48200000e+02    1.20883999e-09    -3.02159727e-11    1.92762460e-13    1.17881678e-09
-1.48100000e+02    1.21456178e-09    -3.03697551e-11    1.93902427e-13    1.18438593e-09
-1.48000000e+02    1.22029322e-09    -3.05241333e-11    1.95051504e-13    1.18996413e-09
-1.47900000e+02    1.22603434e-09    -3.06791181e-11    1.96209907e-13    1.19555143e-09
-1.47800000e+02    1.23178521e-09    -3.08347209e-11    1.97377852e-13    1.20114787e-09
-1.47700000e+02    1.23754589e-09    -3.09909532e-11    1.98555568e-13    1.20675349e-09
-1.47600000e+02    1.24331643e-09    -3.11478271e-11    1.99743284e-13    1.21236835e-09
-1.47500000e+02    1.24909693e-09    -3.13053551e-11    2.00941241e-13    1.21799251e-09
-1.47400000e+02    1.25488745e-09    -3.14635500e-11    2.02149684e-13    1.22362605e-09
