Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    5.70893732e-36    -1.11489984e-36    5.84607761e-38    4.65249826e-36
-1.49900000e+02    6.01041300e-36    -1.16966849e-36    6.11247310e-38    4.90186924e-36
-1.49800000e+02    6.32884916e-36    -1.22732068e-36    6.39191696e-38    5.16544765e-36
-1.49700000e+02    6.66525326e-36    -1.28801808e-36    6.68509400e-38    5.44408612e-36
-1.49600000e+02    7.02069530e-36    -1.35193192e-36    6.99272731e-38    5.73869066e-36
-1.49500000e+02    7.39631184e-36    -1.41924358e-36    7.31558049e-38    6.05022407e-36
-1.49400000e+02    7.79331028e-36    -1.49014524e-36    7.65446002e-38    6.37970964e-36
-1.49300000e+02    8.21297339e-36    -1.56484051e-36    8.01021784e-38    6.72823506e-36
-1.49200000e+02    8.65666425e-36    -1.64354519e-36    8.38375402e-38    7.09695659e-36
-1.49100000e+02    9.12583134e-36    -1.72648798e-36    8.77601965e-38    7.48710355e-36
-1.49000000e+02    9.62201414e-36    -1.81391132e-36    9.18801983e-38    7.89998301e-36
-1.48900000e+02    1.01468490e-35    -1.90607223e-36    9.62081696e-38    8.33698493e-36
-1.48800000e+02    1.07020754e-35    -2.00324323e-36    1.00755341e-37    8.79958748e-36
-1.48700000e+02    1.12895426e-35    -2.10571332e-36    1.05533588e-37    9.28936290e-36
-1.48600000e+02    1.19112171e-35    -2.21378899e-36    1.10555465e-37    9.80798357e-36
-1.48500000e+02    1.25691897e-35    -2.32779535e-36    1.15834254e-37    1.03572286e-35
-1.48400000e+02    1.32656841e-35    -2.44807728e-36    1.21384000e-37    1.09389908e-35
-1.48300000e+02    1.40030654e-35    -2.57500070e-36    1.27219564e-37    1.15552843e-35
-1.48200000e+02    1.47838493e-35    -2.70895389e-36    1.33356669e-37    1.22082520e-35
-1.48100000e+02    1.56107119e-35    -2.85034889e-36    1.39811952e-37    1.29001750e-35
-1.48000000e+02    1.64865006e-35    -2.99962304e-36    1.46603024e-37    1.36334806e-35
-1.47900000e+02    1.74142447e-35    -3.15724056e-36    1.53748524e-37    1.44107526e-35
-1.47800000e+02    1.83971678e-35    -3.32369429e-36    1.61268184e-37    1.52347417e-35
-1.47700000e+02    1.94387006e-35    -3.49950749e-36    1.69182898e-37    1.61083760e-35
-1.47600000e+02    2.05424941e-35    -3.68523577e-36    1.77514789e-37    1.70347732e-35
-1.47500000e+02    2.17124347e-35    -3.88146919e-36    1.86287292e-37    1.80172528e-35
-1.47400000e+02    2.29526592e-35    -4.08883447e-36    1.95525225e-37    1.90593499e-35
-1.47300000e+02    2.42675715e-35    -4.30799730e-36    2.05254882e-37    2.01648290e-35
-1.47200000e+02    2.56618603e-35    -4.53966488e-36    2.15504123e-37    2.13376996e-35
-1.47100000e+02    2.71405182e-35    -4.78458855e-36    2.26302467e-37    2.25822321e-35
-1.47000000e+02    2.87088611e-35    -5.04356668e-36    2.37681202e-37    2.39029756e-35
-1.46900000e+02    3.03725502e-35    -5.31744767e-36    2.49673488e-37    2.53047761e-35
-1.46800000e+02    3.21376150e-35    -5.60713318e-36    2.62314478e-37    2.67927963e-35
-1.46700000e+02    3.40104770e-35    -5.91358158e-36    2.75641440e-37    2.83725368e-35
-1.46600000e+02    3.59979765e-35    -6.23781161e-36    2.89693894e-37    3.00498588e-35
-1.46500000e+02    3.81074002e-35    -6.58090632e-36    3.04513745e-37    3.18310076e-35
-1.46400000e+02    4.03465108e-35    -6.94401718e-36    3.20145440e-37    3.37226390e-35
-1.46300000e+02    4.27235785e-35    -7.32836859e-36    3.36636125e-37    3.57318460e-35
-1.46200000e+02    4.52474154e-35    -7.73526258e-36    3.54035814e-37    3.78661887e-35
-1.46100000e+02    4.79274112e-35    -8.16608388e-36    3.72397571e-37    4.01337249e-35
-1.46000000e+02    5.07735716e-35    -8.62230529e-36    3.91777702e-37    4.25430440e-35
-1.45900000e+02    5.37965599e-35    -9.10549344e-36    4.12235960e-37    4.51033025e-35
-1.45800000e+02    5.70077407e-35    -9.61731490e-36    4.33835764e-37    4.78242616e-35
-1.45700000e+02    6.04192266e-35    -1.01595427e-35    4.56644431e-37    5.07163283e-35
-1.45600000e+02    6.40439286e-35    -1.07340634e-35    4.80733423e-37    5.37905986e-35
-1.45500000e+02    6.78956093e-35    -1.13428844e-35    5.06178611e-37    5.70589035e-35
-1.45400000e+02    7.19889400e-35    -1.19881417e-35    5.33060557e-37    6.05338589e-35
-1.45300000e+02    7.63395619e-35    -1.26721089e-35    5.61464811e-37    6.42289178e-35
-1.45200000e+02    8.09641505e-35    -1.33972056e-35    5.91482231e-37    6.81584271e-35
-1.45100000e+02    8.58804856e-35    -1.41660073e-35    6.23209320e-37    7.23376876e-35
-1.45000000e+02    9.11075252e-35    -1.49812556e-35    6.56748592e-37    7.67830181e-35
-1.44900000e+02    9.66654846e-35    -1.58458694e-35    6.92208952e-37    8.15118242e-35
-1.44800000e+02    1.02575921e-34    -1.67629560e-35    7.29706110e-37    8.65426714e-35
-1.44700000e+02    1.08861824e-34    -1.77358239e-35    7.69363015e-37    9.18953634e-35
-1.44600000e+02    1.15547712e-34    -1.87679963e-35    8.11310323e-37    9.75910257e-35
-1.44500000e+02    1.22659732e-34    -1.98632246e-35    8.55686894e-37    1.03652195e-34
-1.44400000e+02    1.30225776e-34    -2.10255043e-35    9.02640317e-37    1.10102912e-34
-1.44300000e+02    1.38275593e-34    -2.22590904e-35    9.52327476e-37    1.16968830e-34
-1.44200000e+02    1.46840914e-34    -2.35685151e-35    1.00491515e-36    1.24277314e-34
-1.44100000e+02    1.55955589e-34    -2.49586057e-35    1.06058066e-36    1.32057564e-34
-1.44000000e+02    1.65655728e-34    -2.64345048e-35    1.11951253e-36    1.40340735e-34
-1.43900000e+02    1.75979853e-34    -2.80016906e-35    1.18191123e-36    1.49160074e-34
-1.43800000e+02    1.86969063e-34    -2.96659993e-35    1.24798997e-36    1.58551054e-34
-1.43700000e+02    1.98667204e-34    -3.14336490e-35    1.31797547e-36    1.68551531e-34
-1.43600000e+02    2.11121059e-34    -3.33112651e-35    1.39210891e-36    1.79201903e-34
-1.43500000e+02    2.24380544e-34    -3.53059073e-35    1.47064680e-36    1.90545283e-34
-1.43400000e+02    2.38498917e-34    -3.74250983e-35    1.55386204e-36    2.02627681e-34
-1.43300000e+02    2.53533011e-34    -3.96768550e-35    1.64204493e-36    2.15498201e-34
-1.43200000e+02    2.69543470e-34    -4.20697210e-35    1.73550437e-36    2.29209253e-34
-1.43100000e+02    2.86595006e-34    -4.46128019e-35    1.83456900e-36    2.43816774e-34
-1.43000000e+02    3.04756680e-34    -4.73158026e-35    1.93958855e-36    2.59380466e-34
-1.42900000e+02    3.24102190e-34    -5.01890676e-35    2.05093520e-36    2.75964058e-34
-1.42800000e+02    3.44710188e-34    -5.32436231e-35    2.16900503e-36    2.93635570e-34
-1.42700000e+02    3.66664615e-34    -5.64912231e-35    2.29421960e-36    3.12467612e-34
-1.42600000e+02    3.90055058e-34    -5.99443973e-35    2.42702763e-36    3.32537688e-34
-1.42500000e+02    4.14977133e-34    -6.36165036e-35    2.56790675e-36    3.53928536e-34
-1.42400000e+02    4.41532892e-34    -6.75217830e-35    2.71736544e-36    3.76728475e-34
-1.42300000e+02    4.69831263e-34    -7.16754185e-35    2.87594501e-36    4.01031789e-34
-1.42200000e+02    4.99988509e-34    -7.60935986e-35    3.04422178e-36    4.26939132e-34
-1.42100000e+02    5.32128730e-34    -8.07935839e-35    3.22280938e-36    4.54557956e-34
-1.42000000e+02    5.66384394e-34    -8.57937794e-35    3.41236120e-36    4.84002975e-34
-1.41900000e+02    6.02896898e-34    -9.11138107e-35    3.61357301e-36    5.15396661e-34
-1.41800000e+02    6.41817183e-34    -9.67746057e-35    3.82718574e-36    5.48869763e-34
-1.41700000e+02    6.83306371e-34    -1.02798482e-34    4.05398847e-36    5.84561877e-34
-1.41600000e+02    7.27536459e-34    -1.09209240e-34    4.29482159e-36    6.22622041e-34
-1.41500000e+02    7.74691059e-34    -1.16032261e-34    4.55058020e-36    6.63209378e-34
-1.41400000e+02    8.24966180e-34    -1.23294617e-34    4.82221769e-36    7.06493781e-34
-1.41300000e+02    8.78571070e-34    -1.31025178e-34    5.11074962e-36    7.52656642e-34
-1.41200000e+02    9.35729117e-34    -1.39254737e-34    5.41725781e-36    8.01891638e-34
-1.41100000e+02    9.96678800e-34    -1.48016138e-34    5.74289472e-36    8.54405557e-34
-1.41000000e+02    1.06167472e-33    -1.57344414e-34    6.08888810e-36    9.10419194e-34
-1.40900000e+02    1.13098868e-33    -1.67276930e-34    6.45654603e-36    9.70168301e-34
-1.40800000e+02    1.20491088e-33    -1.77853546e-34    6.84726214e-36    1.03390460e-33
-1.40700000e+02    1.28375113e-33    -1.89116778e-34    7.26252134e-36    1.10189687e-33
-1.40600000e+02    1.36784018e-33    -2.01111982e-34    7.70390586e-36    1.17443210e-33
-1.40500000e+02    1.45753117e-33    -2.13887538e-34    8.17310165e-36    1.25181673e-33
-1.40400000e+02    1.55320113e-33    -2.27495060e-34    8.67190530e-36    1.33437798e-33
-1.40300000e+02    1.65525259e-33    -2.41989608e-34    9.20223134e-36    1.42246522e-33
-1.40200000e+02    1.76411533e-33    -2.57429920e-34    9.76612006e-36    1.51645153e-33
-1.40100000e+02    1.88024819e-33    -2.73878661e-34    1.03657459e-35    1.61673527e-33
-1.40000000e+02    2.00414107e-33    -2.91402687e-34    1.10034262e-35    1.72374181e-33
-1.39900000e+02    2.13631705e-33    -3.10073323e-34    1.16816308e-35    1.83792535e-33
-1.39800000e+02    2.27733457e-33    -3.29966666e-34    1.24029923e-35    1.95977090e-33
-1.39700000e+02    2.42778990e-33    -3.51163903e-34    1.31703166e-35    2.08979632e-33
-1.39600000e+02    2.58831967e-33    -3.73751655e-34    1.39865944e-35    2.22855461e-33
-1.39500000e+02    2.75960359e-33    -3.97822343e-34    1.48550137e-35    2.37663626e-33
-1.39400000e+02    2.94236739e-33    -4.23474573e-34    1.57789728e-35    2.53467179e-33
-1.39300000e+02    3.13738591e-33    -4.50813555e-34    1.67620941e-35    2.70333445e-33
-1.39200000e+02    3.34548645e-33    -4.79951546e-34    1.78082392e-35    2.88334315e-33
-1.39100000e+02    3.56755233e-33    -5.11008321e-34    1.89215250e-35    3.07546553e-33
-1.39000000e+02    3.80452663e-33    -5.44111683e-34    2.01063399e-35    3.28052128e-33
-1.38900000e+02    4.05741627e-33    -5.79397994e-34    2.13673627e-35    3.49938564e-33
-1.38800000e+02    4.32729635e-33    -6.17012758e-34    2.27095815e-35    3.73299317e-33
-1.38700000e+02    4.61531469e-33    -6.57111229e-34    2.41383142e-35    3.98234178e-33
-1.38600000e+02    4.92269684e-33    -6.99859067e-34    2.56592305e-35    4.24849700e-33
-1.38500000e+02    5.25075125e-33    -7.45433040e-34    2.72783756e-35    4.53259658e-33
-1.38400000e+02    5.60087492e-33    -7.94021763e-34    2.90021945e-35    4.83585535e-33
-1.38300000e+02    5.97455938e-33    -8.45826502e-34    3.08375593e-35    5.15957043e-33
-1.38200000e+02    6.37339707e-33    -9.01062012e-34    3.27917971e-35    5.50512685e-33
-1.38100000e+02    6.79908816e-33    -9.59957452e-34    3.48727206e-35    5.87400343e-33
-1.38000000e+02    7.25344783e-33    -1.02275735e-33    3.70886600e-35    6.26777914e-33
-1.37900000e+02    7.73841401e-33    -1.08972262e-33    3.94484981e-35    6.68813989e-33
-1.37800000e+02    8.25605571e-33    -1.16113170e-33    4.19617060e-35    7.13688572e-33
