Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    5.85115399e-05    -1.28525479e-06    8.37481219e-09    5.72346599e-05
-1.49900000e+02    5.87518824e-05    -1.29200098e-06    8.41401451e-09    5.74682955e-05
-1.49800000e+02    5.89924579e-05    -1.29875073e-06    8.45324634e-09    5.77021604e-05
-1.49700000e+02    5.92332567e-05    -1.30550380e-06    8.49250621e-09    5.79362454e-05
-1.49600000e+02    5.94742693e-05    -1.31225995e-06    8.53179266e-09    5.81705411e-05
-1.49500000e+02    5.97154860e-05    -1.31901894e-06    8.57110423e-09    5.84050381e-05
-1.49400000e+02    5.99568971e-05    -1.32578051e-06    8.61043943e-09    5.86397270e-05
-1.49300000e+02    6.01984929e-05    -1.33254441e-06    8.64979678e-09    5.88745982e-05
-1.49200000e+02    6.04402635e-05    -1.33931041e-06    8.68917478e-09    5.91096423e-05
-1.49100000e+02    6.06821991e-05    -1.34607823e-06    8.72857192e-09    5.93448494e-05
-1.49000000e+02    6.09242897e-05    -1.35284765e-06    8.76798672e-09    5.95802100e-05
-1.48900000e+02    6.11665254e-05    -1.35961839e-06    8.80741763e-09    5.98157144e-05
-1.48800000e+02    6.14088960e-05    -1.36639020e-06    8.84686315e-09    6.00513527e-05
-1.48700000e+02    6.16513915e-05    -1.37316284e-06    8.88632174e-09    6.02871150e-05
-1.48600000e+02    6.18940018e-05    -1.37993604e-06    8.92579187e-09    6.05229916e-05
-1.48500000e+02    6.21367166e-05    -1.38670954e-06    8.96527198e-09    6.07589723e-05
-1.48400000e+02    6.23795257e-05    -1.39348308e-06    9.00476054e-09    6.09950473e-05
-1.48300000e+02    6.26224187e-05    -1.40025641e-06    9.04425598e-09    6.12312065e-05
-1.48200000e+02    6.28653852e-05    -1.40702926e-06    9.08375675e-09    6.14674397e-05
-1.48100000e+02    6.31084150e-05    -1.41380138e-06    9.12326126e-09    6.17037369e-05
-1.48000000e+02    6.33514974e-05    -1.42057249e-06    9.16276796e-09    6.19400877e-05
-1.47900000e+02    6.35946221e-05    -1.42734233e-06    9.20227524e-09    6.21764820e-05
-1.47800000e+02    6.38377783e-05    -1.43411064e-06    9.24178154e-09    6.24129095e-05
-1.47700000e+02    6.40809556e-05    -1.44087714e-06    9.28128525e-09    6.26493597e-05
-1.47600000e+02    6.43241432e-05    -1.44764158e-06    9.32078477e-09    6.28858224e-05
-1.47500000e+02    6.45673304e-05    -1.45440368e-06    9.36027851e-09    6.31222870e-05
-1.47400000e+02    6.48105065e-05    -1.46116318e-06    9.39976486e-09    6.33587431e-05
-1.47300000e+02    6.50536607e-05    -1.46791980e-06    9.43924219e-09    6.35951801e-05
-1.47200000e+02    6.52967821e-05    -1.47467327e-06    9.47870889e-09    6.38315876e-05
-1.47100000e+02    6.55398599e-05    -1.48142332e-06    9.51816333e-09    6.40679547e-05
-1.47000000e+02    6.57828831e-05    -1.48816968e-06    9.55760389e-09    6.43042710e-05
-1.46900000e+02    6.60258407e-05    -1.49491207e-06    9.59702894e-09    6.45405257e-05
-1.46800000e+02    6.62687218e-05    -1.50165022e-06    9.63643683e-09    6.47767080e-05
-1.46700000e+02    6.65115153e-05    -1.50838385e-06    9.67582592e-09    6.50128073e-05
-1.46600000e+02    6.67542101e-05    -1.51511269e-06    9.71519457e-09    6.52488126e-05
-1.46500000e+02    6.69967950e-05    -1.52183645e-06    9.75454112e-09    6.54847131e-05
-1.46400000e+02    6.72392589e-05    -1.52855487e-06    9.79386393e-09    6.57204979e-05
-1.46300000e+02    6.74815906e-05    -1.53526766e-06    9.83316133e-09    6.59561561e-05
-1.46200000e+02    6.77237788e-05    -1.54197454e-06    9.87243166e-09    6.61916767e-05
-1.46100000e+02    6.79658123e-05    -1.54867524e-06    9.91167327e-09    6.64270487e-05
-1.46000000e+02    6.82076797e-05    -1.55536946e-06    9.95088447e-09    6.66622611e-05
-1.45900000e+02    6.84493697e-05    -1.56205694e-06    9.99006361e-09    6.68973028e-05
-1.45800000e+02    6.86908709e-05    -1.56873739e-06    1.00292090e-08    6.71321627e-05
-1.45700000e+02    6.89321719e-05    -1.57541053e-06    1.00683190e-08    6.73668297e-05
-1.45600000e+02    6.91732613e-05    -1.58207607e-06    1.01073919e-08    6.76012926e-05
-1.45500000e+02    6.94141276e-05    -1.58873373e-06    1.01464260e-08    6.78355403e-05
-1.45400000e+02    6.96547592e-05    -1.59538323e-06    1.01854196e-08    6.80695614e-05
-1.45300000e+02    6.98951447e-05    -1.60202428e-06    1.02243711e-08    6.83033448e-05
-1.45200000e+02    7.01352725e-05    -1.60865660e-06    1.02632788e-08    6.85368792e-05
-1.45100000e+02    7.03751310e-05    -1.61527990e-06    1.03021409e-08    6.87701532e-05
-1.45000000e+02    7.06147085e-05    -1.62189390e-06    1.03409559e-08    6.90031556e-05
-1.44900000e+02    7.08539936e-05    -1.62849831e-06    1.03797219e-08    6.92358750e-05
-1.44800000e+02    7.10929744e-05    -1.63509284e-06    1.04184374e-08    6.94683000e-05
-1.44700000e+02    7.13316393e-05    -1.64167721e-06    1.04571005e-08    6.97004192e-05
-1.44600000e+02    7.15699766e-05    -1.64825112e-06    1.04957097e-08    6.99322212e-05
-1.44500000e+02    7.18079746e-05    -1.65481430e-06    1.05342633e-08    7.01636945e-05
-1.44400000e+02    7.20456215e-05    -1.66136646e-06    1.05727594e-08    7.03948278e-05
-1.44300000e+02    7.22829056e-05    -1.66790730e-06    1.06111965e-08    7.06256095e-05
-1.44200000e+02    7.25198150e-05    -1.67443654e-06    1.06495729e-08    7.08560280e-05
-1.44100000e+02    7.27563380e-05    -1.68095389e-06    1.06878868e-08    7.10860720e-05
-1.44000000e+02    7.29924628e-05    -1.68745906e-06    1.07261366e-08    7.13157299e-05
-1.43900000e+02    7.32281776e-05    -1.69395176e-06    1.07643206e-08    7.15449901e-05
-1.43800000e+02    7.34634704e-05    -1.70043171e-06    1.08024371e-08    7.17738411e-05
-1.43700000e+02    7.36983294e-05    -1.70689862e-06    1.08404844e-08    7.20022713e-05
-1.43600000e+02    7.39327428e-05    -1.71335219e-06    1.08784607e-08    7.22302691e-05
-1.43500000e+02    7.41666987e-05    -1.71979214e-06    1.09163645e-08    7.24578229e-05
-1.43400000e+02    7.44001851e-05    -1.72621817e-06    1.09541941e-08    7.26849212e-05
-1.43300000e+02    7.46331903e-05    -1.73263001e-06    1.09919477e-08    7.29115522e-05
-1.43200000e+02    7.48657022e-05    -1.73902736e-06    1.10296237e-08    7.31377045e-05
-1.43100000e+02    7.50977090e-05    -1.74540994e-06    1.10672203e-08    7.33633663e-05
-1.43000000e+02    7.53291987e-05    -1.75177744e-06    1.11047361e-08    7.35885260e-05
